103, '正常', '电表', NULL, '艉侧推控制屏', '电表', NULL, NULL, NULL, 'SL505-D029', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
104, '正常', '电表', NULL, '艉侧推控制屏', '电表', NULL, NULL, NULL, 'SL505-D030', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
105, '正常', '电表', NULL, '艉侧推控制屏', '电表', NULL, NULL, NULL, 'SL505-D031', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
106, '正常', '电表', NULL, '2#AC400V负载屏', '电表', NULL, NULL, NULL, 'SL505-D032', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
107, '正常', '电表', NULL, '2#AC400V负载屏', '电表', NULL, NULL, NULL, 'SL505-D033', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
108, '正常', '电表', NULL, 'AC230V负载屏', '电表', NULL, NULL, NULL, 'SL505-D034', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
109, '正常', '电表', NULL, 'AC230V负载屏', '电表', NULL, NULL, NULL, 'SL505-D035', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
110, '正常', '电表', NULL, 'AC230V负载屏', '电表', NULL, NULL, NULL, 'SL505-D036', '二管', '非', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
111, '正常', '压力表', 'PARKER', '艏侧推', '压力', 'Y-20', '1.2bar=17psi', NULL, 'SL505-YL001', '大管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
112, '正常', '耐震压力表', NULL, '艏侧推', '压力', 'YN-60', '（0~100）Mpa', NULL, 'SL505-YL002', '大管', '强', NULL, 'A类', NULL, '2021-07-08', 6, '2022-01-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
113, '正常', '温度表', '江苏远望', '蒸汽锅炉', '温度', 'Y-100', '(0~400)C°', 1.5, 160763, '三管', '强', NULL, 'A类', NULL, '2021-07-08', 12, '2022-07-07', '东营亿茂检测', 505, NULL, NULL, NULL, NULL, NULL);
